Day,Month,Cases,Label
24,3,6,AF
23,3,10,AF
22,3,0,AF
21,3,2,AF
20,3,0,AF
19,3,0,AF
18,3,1,AF
17,3,5,AF
16,3,6,AF
15,3,3,AF
11,3,3,AF
8,3,3,AF
2,3,0,AF
1,3,0,AF
29,2,0,AF
28,2,0,AF
27,2,0,AF
26,2,0,AF
25,2,1,AF
24,2,0,AF
23,2,0,AF
22,2,0,AF
21,2,0,AF
20,2,0,AF
19,2,0,AF
18,2,0,AF
17,2,0,AF
16,2,0,AF
15,2,0,AF
14,2,0,AF
13,2,0,AF
12,2,0,AF
11,2,0,AF
10,2,0,AF
9,2,0,AF
8,2,0,AF
7,2,0,AF
6,2,0,AF
5,2,0,AF
4,2,0,AF
3,2,0,AF
2,2,0,AF
1,2,0,AF
31,1,0,AF
30,1,0,AF
29,1,0,AF
28,1,0,AF
27,1,0,AF
26,1,0,AF
25,1,0,AF
24,1,0,AF
23,1,0,AF
22,1,0,AF
21,1,0,AF
20,1,0,AF
19,1,0,AF
18,1,0,AF
17,1,0,AF
16,1,0,AF
15,1,0,AF
14,1,0,AF
13,1,0,AF
12,1,0,AF
11,1,0,AF
10,1,0,AF
9,1,0,AF
8,1,0,AF
7,1,0,AF
6,1,0,AF
5,1,0,AF
4,1,0,AF
3,1,0,AF
2,1,0,AF
1,1,0,AF
31,12,0,AF
24,3,0,AO
23,3,0,AO
22,3,2,AO
24,3,11,AL
23,3,13,AL
22,3,6,AL
21,3,0,AL
20,3,11,AL
19,3,4,AL
18,3,4,AL
17,3,9,AL
16,3,4,AL
15,3,5,AL
14,3,10,AL
13,3,12,AL
12,3,1,AL
11,3,4,AL
10,3,4,AL
9,3,2,AL
24,3,20,AD
23,3,25,AD
22,3,13,AD
21,3,0,AD
20,3,22,AD
19,3,39,AD
18,3,0,AD
17,3,9,AD
16,3,3,AD
14,3,1,AD
3,3,1,AD
24,3,35,AR
23,3,41,AR
22,3,67,AR
21,3,30,AR
20,3,31,AR
19,3,18,AR
18,3,14,AR
17,3,9,AR
16,3,11,AR
15,3,11,AR
14,3,3,AR
13,3,12,AR
11,3,7,AR
9,3,3,AR
8,3,1,AR
7,3,6,AR
6,3,1,AR
4,3,1,AR
24,3,4,AM
23,3,30,AM
22,3,24,AM
